Cities ,Berlin,Buenos Aires,Cairo,Calcutta,Cape Town,Caracas,Chicago,Hong Kong,Honolulu,Istanbul,Lisbon,London,Los Angeles,Manila,Mexico City,Montreal,Moscow,New York,Paris,Rio de Janeiro,Rome,San Francisco,Shanghai,Stockholm,Sydney,Tokyo,Warsaw,Washington
Lisbon ,1436 ,5956 ,2363 ,5638 ,5325 ,4041 ,3990,6853 ,7820 ,2012 ,,985 ,5621 ,7546,5390 ,3246 ,2427 ,3364 ,904 ,4796 ,1161,5666 ,6654 ,1856 ,11302 ,6915 ,1715 ,3562
London ,579 ,6916 ,2181 ,4947 ,6012 ,4660 ,3950,5982 ,7228 ,1552 ,985 ,,5382 ,6672,5550 ,3282 ,1555 ,3458 ,213 ,5766 ,887,5357 ,5715 ,890 ,10564 ,5940 ,899 ,3663
Los Angeles ,5724 ,6170 ,7520 ,8090 ,9992 ,3632 ,1745,7195 ,2574 ,6783 ,5621 ,5382 ,,7261,1589 ,2427 ,6003 ,2451 ,5588 ,6331 ,6732,347 ,6438 ,5454 ,7530 ,5433 ,5922 ,2300
Manila ,6132 ,11051 ,5704 ,2203 ,7486 ,10620 ,8143,693 ,5299 ,5664 ,7546 ,6672 ,7261 ,,8835 ,8186 ,5131 ,8498 ,6677 ,11259 ,6457,6967 ,1150 ,5797 ,3944 ,1866 ,5837 ,8562
Mexico City ,6047 ,4592 ,7688 ,9492 ,8517 ,2232 ,1691,8782 ,3779 ,7110 ,5390 ,5550 ,1589 ,8835,,2318 ,6663 ,2094 ,5716 ,4771 ,6366,1887 ,8022 ,5959 ,8052 ,7021 ,6365 ,1887
Montreal ,3729 ,5615 ,5414 ,7607 ,7931 ,2449 ,744,7729 ,4910 ,4789 ,3246 ,3282 ,2427 ,8186,2318 ,,4386 ,320 ,3422 ,5097 ,4080,2539 ,7053 ,3667 ,9954 ,6383 ,4009 ,488
Moscow ,1004 ,8376 ,1803 ,3321 ,6300 ,6173 ,4974,4439 ,7037 ,1091 ,2427 ,1555 ,6003 ,5131,6663 ,4386 ,,4665 ,1544 ,7175 ,1474,5871 ,4235 ,762 ,9012 ,4647 ,715 ,4858
New York ,3965 ,5297 ,5602 ,7918 ,7764 ,2132 ,713,8054 ,4964 ,4975 ,3364 ,3458 ,2451 ,8498,2094 ,320 ,4665 ,,3624 ,4817 ,4281,2571 ,7371 ,3924 ,9933 ,6740 ,4344 ,205
Paris ,545 ,6870 ,1995 ,4883 ,5807 ,4736 ,4134,5985 ,7438 ,1400 ,904 ,213 ,5588 ,6677,5716 ,3422 ,1544 ,3624 ,,5699 ,697,5558 ,5754 ,958 ,10544 ,6034 ,849 ,3829
Rio de Janeiro ,6220 ,1200 ,6146 ,9377 ,3773 ,2810 ,5296,11021 ,8285 ,6389 ,4796 ,5766 ,6331 ,11259,4771 ,5097 ,7175 ,4817 ,5699 ,,5684,6621 ,11336 ,6651 ,8306 ,11533 ,6467 ,4796
Rome ,734 ,6929 ,1320 ,4482 ,5249 ,5196 ,4808,5768 ,8022 ,843 ,1161 ,887 ,6732 ,6457,6366 ,4080 ,1474 ,4281 ,697 ,5684 ,,6240 ,5677 ,1234 ,10136 ,6135 ,817 ,4434
San Francisco ,5661 ,6467 ,7364 ,7814 ,10247 ,3904 ,1858,6897 ,2393 ,6703 ,5666 ,5357 ,347 ,6967,1887 ,2539 ,5871 ,2571 ,5558 ,6621 ,6240,,6140 ,5361 ,7416 ,5135 ,5841 ,2442
Shanghai,5218 ,12201 ,5183 ,2117 ,8061 ,9501 ,7061,764 ,4941 ,4962 ,6654 ,5715 ,6438 ,1150,8022 ,7053 ,4235 ,7371 ,5754 ,11336 ,5677,6140 ,,4825 ,4899 ,1097 ,4951 ,7448
Stockholm ,504 ,7808 ,2111 ,4195 ,6444 ,5420 ,4278,5113 ,6862 ,1348 ,1856 ,890 ,5454 ,5797,5959 ,3667 ,762 ,3924 ,958 ,6651 ,1234,5361 ,4825 ,,9696 ,5051 ,501 ,4123
Sydney,10006 ,7330 ,8952 ,5685 ,6843 ,9513 ,9272,4584 ,4943 ,9294 ,11302 ,10564 ,7530 ,3944,8052 ,9954 ,9012 ,9933 ,10544 ,8306 ,10136,7416 ,4899 ,9696 ,,4866 ,9696 ,9758
Tokyo ,5540 ,11408 ,5935 ,3194 ,9156 ,8799 ,6299,1794 ,3853 ,5560 ,6915 ,5940 ,5433 ,1866,7021 ,6383 ,4647 ,6740 ,6034 ,11533 ,6135,5135 ,1097 ,5051 ,4866 ,,5249 ,6772
Warsaw ,320 ,7662 ,1630 ,4048 ,5958 ,5517 ,4667,5144 ,7355 ,863 ,1715 ,899 ,5922 ,5837,6365 ,4009 ,715 ,4344 ,849 ,6467 ,817,5841 ,4951 ,501 ,9696 ,5249 ,,4457
Washington D.C. ,4169 ,5218 ,5800 ,8084 ,7901 ,2059 ,597,8147 ,4519 ,5215 ,3562 ,3663 ,2300 ,8562,1887 ,488 ,4858 ,205 ,3829 ,4796 ,4434,2442 ,7448 ,4123 ,9758 ,6772 ,4457 ,
