year,Amanda,Ashley,Betty,Deborah,Dorothy,Helen,Linda,Patricia
1972,4181,1176,1366,6279,1277,1245,5746,9602
1973,5627,1253,1323,4984,1175,1133,4735,8477
1974,7476,1626,1130,4345,1100,1140,4085,8040
1975,12653,1988,1021,3415,975,1057,3525,7056
1976,15591,2292,908,2994,983,942,3141,6017
1977,18280,2706,807,2677,934,992,2909,5907
1978,20522,3484,715,2479,913,922,2936,5498
1979,31927,4450,711,2181,889,879,2739,5651
1980,35819,7296,658,1938,895,909,2805,5309
1981,34373,8877,662,1905,787,896,2730,5285
1982,34210,14851,635,1842,828,875,2787,5167
1983,33754,33290,563,1605,759,844,2473,4922
1984,33906,38759,503,1468,682,859,2334,4475
1985,39050,47007,502,1401,719,809,2113,4398
1986,40522,49674,407,1284,629,766,1951,4246
1987,41786,54845,435,1203,614,815,1929,3913
1988,39451,49963,395,1056,608,775,1844,3798
1989,36827,47585,399,1076,620,857,1844,3606
1990,34405,45553,406,1094,596,861,1658,3578
1991,28887,43482,345,1014,498,773,1608,3418
1992,25034,38452,296,919,508,827,1580,2951
1993,20809,34847,292,797,476,868,1487,2660
1994,18715,30278,275,740,442,848,1281,2363
1995,16345,26603,234,660,376,837,1233,2160
1996,13973,23676,217,633,350,900,987,1970
1997,12239,20895,189,638,315,812,1095,1781
1998,10908,19871,194,553,312,832,970,1704
1999,9741,18132,182,524,335,841,898,1532
2000,8550,17997,174,545,312,890,849,1392
2001,6963,16524,153,489,317,884,837,1223
2002,6132,15339,127,474,263,875,769,1113
2003,5339,14512,142,421,291,783,739,1011
2004,4677,14370,136,427,288,860,727,997
2005,4088,13270,132,425,234,960,745,877
2006,3355,12340,135,423,265,948,698,775
2007,3038,11423,134,371,262,931,659,725
2008,2439,9402,137,355,242,884,611,629
2009,1952,7811,148,346,226,826,550,564
2010,1655,6306,132,354,240,703,476,479
2011,1409,5398,167,332,276,729,488,427
2012,1228,4696,140,336,277,772,448,394
2013,1064,3936,174,329,334,738,441,419
2014,1048,3547,193,369,382,801,470,377
2015,1013,3409,186,346,395,757,423,346
